Date,Minimum temperature (°C),Maximum temperature (°C),9am Temperature (°C),9am relative humidity (%),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-02-1,17.6,25.6,19.2,57,7,1014.7,24.4,38,22,1013.9
2021-02-2,13.2,24.5,18.1,56,11,1019.2,23.7,33,20,1017.0
2021-02-3,13.0,28.6,18.6,52,6,1014.3,26.1,31,13,1009.2
2021-02-4,18.3,24.6,23.4,37,9,1000.5,19.1,73,17,998.9
2021-02-5,12.8,19.4,16.0,61,24,999.1,18.5,73,30,994.5
2021-02-6,15.1,20.4,17.1,92,17,1004.6,19.6,74,24,1007.4
2021-02-7,15.6,21.2,17.2,70,7,1015.0,20.5,52,6,1014.2
2021-02-8,13.0,25.7,16.5,54,9,1016.0,24.2,36,13,1014.1
2021-02-9,16.3,30.5,20.7,45,9,1013.7,29.1,25,9,1011.5
2021-02-10,15.7,35.0,23.4,37,1,1010.9,34.3,13,11,1008.2
2021-02-11,21.0,35.4,28.4,32,2,1002.5,34.1,26,19,1001.5
2021-02-12,16.0,22.6,18.0,64,7,1009.4,21.7,47,19,1009.9
2021-02-13,14.5,23.5,19.1,65,9,1016.2,22.2,51,19,1016.3
2021-02-14,12.3,26.3,18.1,59,6,1019.3,25.5,35,15,1017.2
2021-02-15,13.3,30.5,19.7,66,1,1019.0,25.9,45,17,1017.0
2021-02-16,17.6,34.8,22.6,65,6,1017.1,34.0,22,17,1014.3
2021-02-17,22.4,37.9,29.5,27,13,1016.5,36.1,18,19,1014.0
2021-02-18,26.9,36.9,30.0,26,13,1016.1,35.8,17,15,1012.2
2021-02-19,26.6,36.7,30.3,26,13,1011.0,34.6,20,15,1009.9
2021-02-20,18.6,30.6,22.1,55,1,1013.0,28.6,45,13,1010.6
2021-02-21,15.1,22.9,18.6,59,11,1014.1,21.5,49,24,1013.0
2021-02-22,16.1,23.9,18.8,56,15,1016.8,22.8,35,20,1016.7
2021-02-23,12.6,22.5,16.2,54,11,1022.4,21.1,29,17,1020.8
2021-02-24,13.6,22.2,15.9,44,4,1021.0,19.9,40,20,1017.8
2021-02-25,10.7,21.5,16.8,57,4,1016.7,20.8,47,19,1015.0
2021-02-26,14.1,23.9,17.2,64,13,1015.1,22.6,43,13,1012.9
2021-02-27,11.9,25.9,18.5,53,4,1012.6,23.9,40,19,1011.3
2021-02-28,13.2,25.7,19.4,64,1,1012.6,24.1,46,17,1011.8
2021-03-1,13.4,26.3,17.9,60,7,1016.0,25.3,37,11,1014.8
2021-03-2,12.4,24.6,15.3,46,11,1019.6,22.7,24,11,1016.6
2021-03-3,13.7,25.8,16.9,42,13,1020.0,24.8,27,9,1018.5
2021-03-4,9.7,24.7,16.0,52,6,1020.2,23.1,43,15,1017.4
2021-03-5,11.6,27.6,17.3,65,7,1016.9,24.2,53,20,1014.1
2021-03-6,12.1,28.3,17.4,46,2,1013.6,25.1,33,17,1011.0
2021-03-7,17.2,28.5,23.1,33,4,1008.6,26.9,31,11,1007.7
2021-03-8,16.5,26.4,18.5,63,13,1012.6,25.3,36,11,1011.9
2021-03-9,11.9,26.6,17.1,63,9,1018.3,24.5,42,15,1016.9
2021-03-10,15.8,26.4,19.6,52,1,1018.3,23.1,51,11,1016.5
2021-03-11,14.5,26.7,19.0,73,1,1017.4,25.8,41,13,1015.5
2021-03-12,14.3,32.5,19.8,54,1,1014.9,31.4,25,17,1011.5
2021-03-13,17.9,20.8,18.0,88,19,1013.8,19.7,47,22,1016.9
2021-03-14,9.7,20.6,14.8,59,6,1025.1,18.9,43,20,1023.9
2021-03-15,9.4,21.7,15.6,70,4,1026.7,19.9,62,13,1025.0
2021-03-16,14.4,23.7,18.6,71,6,1024.7,22.8,51,11,1021.8
2021-03-17,13.7,27.3,19.3,66,4,1021.4,25.9,42,19,1018.7
2021-03-18,18.2,30.7,22.8,52,1,1021.8,30.1,26,15,1020.3
2021-03-19,18.7,30.9,24.5,42,11,1023.6,29.1,30,24,1020.3
2021-03-20,20.3,32.6,25.3,43,7,1021.8,31.3,26,15,1018.1
2021-03-21,21.0,30.4,24.6,42,17,1018.1,28.9,36,13,1015.3
2021-03-22,16.7,28.9,21.8,57,1,1014.0,28.0,35,15,1010.6
2021-03-23,13.7,23.9,18.8,55,2,1009.4,22.9,51,17,1007.7
2021-03-24,17.0,22.8,18.0,74,15,1009.1,20.8,58,20,1008.8
2021-03-25,16.1,22.0,17.6,62,19,1012.1,21.5,43,15,1012.3
2021-03-26,13.3,22.9,15.6,68,11,1012.7,22.1,46,17,1010.5
2021-03-27,13.5,21.3,17.8,65,4,1014.9,20.5,47,17,1015.4
2021-03-28,12.3,21.6,15.5,73,9,1021.5,20.7,53,15,1020.7
2021-03-29,10.7,23.9,16.3,72,1,1025.4,22.7,51,13,1023.8
2021-03-30,13.5,27.1,18.5,65,1,1026.4,24.7,38,13,1024.5
2021-03-31,13.5,28.0,20.5,48,7,1024.5,26.9,35,13,1021.8
2021-04-1,13.9,32.3,20.8,40,6,1022.8,30.8,14,9,1021.1
2021-04-2,15.4,33.4,21.0,42,1,1023.8,32.7,14,15,1020.4
2021-04-3,17.3,33.7,24.1,31,13,1020.9,33.3,15,15,1018.1
2021-04-4,15.8,29.9,25.5,32,1,1019.6,28.5,31,15,1017.7
2021-04-5,12.9,25.7,20.0,58,4,1022.0,24.7,43,15,1019.5
2021-04-6,11.1,28.3,20.3,49,2,1022.0,26.8,30,13,1018.7
2021-04-7,11.4,,20.5,48,1,1018.9,24.9,44,15,1015.0
2021-04-8,13.0,32.5,21.9,31,7,1010.7,32.4,17,11,1006.6
2021-04-9,14.2,22.4,17.3,55,11,1014.3,20.1,44,22,1012.1
2021-04-10,14.0,19.6,16.3,65,17,1015.8,18.6,41,24,1016.3
2021-04-11,12.0,19.3,15.6,49,15,1023.9,16.8,48,17,1023.7
2021-04-12,7.8,21.4,14.3,55,9,1024.9,21.0,30,13,1019.4
2021-04-13,14.3,23.5,18.9,29,20,1012.3,22.4,24,19,1008.8
2021-04-14,15.3,21.0,18.1,66,17,1017.2,19.7,42,24,1017.1
2021-04-15,13.7,20.6,17.2,70,17,1020.6,19.5,58,17,1019.7
2021-04-16,9.0,20.1,15.9,73,7,1026.2,19.4,58,13,1024.5
2021-04-17,10.2,19.6,15.8,57,9,1029.1,18.5,47,15,1026.8
2021-04-18,13.8,20.2,14.9,82,9,1026.4,18.6,55,9,1023.3
2021-04-19,12.2,20.5,13.5,87,15,1020.0,20.2,45,17,1015.8
2021-04-20,11.0,18.4,14.4,80,9,1014.1,16.1,51,17,1016.6
2021-04-21,6.4,17.1,10.1,66,11,1021.1,15.8,47,13,1017.6
2021-04-22,10.1,19.4,15.4,78,6,1018.1,17.8,51,17,1017.7
2021-04-23,12.8,18.7,15.8,80,6,1022.2,18.4,53,11,1021.4
2021-04-24,11.9,20.0,14.7,77,9,1026.9,18.8,57,13,1025.3
2021-04-25,8.6,20.2,16.0,68,6,1029.0,19.0,59,15,1027.3
2021-04-26,7.9,20.5,15.4,72,4,1029.1,19.8,53,11,1026.8
2021-04-27,8.3,21.2,15.8,62,6,1028.0,20.7,49,2,1024.6
2021-04-28,8.2,20.7,15.4,72,1,1025.9,20.0,63,15,1023.4
2021-04-29,8.0,22.7,15.6,61,1,1024.9,21.2,44,13,1022.0
2021-04-30,9.6,26.8,19.8,40,11,1023.3,26.2,21,9,1020.1
2021-05-1,16.8,29.0,23.2,33,15,1020.6,28.1,23,20,1017.1
2021-05-2,13.6,21.1,17.0,76,7,1021.8,20.8,52,9,1020.3
2021-05-3,10.7,20.3,14.4,77,1,1023.3,18.6,60,17,1022.1
2021-05-4,8.9,17.6,13.8,58,7,1027.2,16.2,38,17,1024.9
2021-05-5,7.2,19.6,13.4,55,1,1025.9,18.3,45,13,1022.4
2021-05-6,8.7,21.9,15.1,55,9,1020.6,20.6,34,6,1016.4
2021-05-7,14.8,22.4,16.4,43,11,1014.8,21.5,38,6,1012.7
2021-05-8,11.8,19.6,16.2,74,7,1016.0,17.0,81,1,1015.5
2021-05-9,12.1,19.3,13.8,92,9,1020.0,18.3,62,13,1016.9
2021-05-10,12.5,17.1,15.5,66,24,1014.0,15.7,67,20,1016.3
2021-05-11,10.5,16.6,13.3,73,9,1025.3,13.7,63,20,1024.5
2021-05-12,5.1,17.2,10.9,72,4,1025.1,15.1,57,15,1020.6
2021-05-13,9.1,16.5,11.8,77,11,1017.0,15.4,61,17,1018.0
2021-05-14,11.0,17.0,15.0,60,17,1021.6,15.1,70,17,1021.1
2021-05-15,11.5,16.6,13.7,60,11,1025.8,15.9,54,13,1025.4
2021-05-16,11.8,17.6,13.7,65,1,1027.5,16.1,59,13,1025.7
2021-05-17,12.7,18.0,14.8,58,1,1029.4,16.0,56,11,1028.3
2021-05-18,6.7,19.0,12.4,67,6,1029.4,18.4,41,9,1026.0
2021-05-19,10.6,19.9,13.9,46,11,1026.5,18.6,38,19,1023.4
2021-05-20,12.8,21.9,16.0,43,6,1027.2,18.9,42,7,1026.3
2021-05-21,7.6,24.9,15.1,56,1,1028.8,24.6,18,9,1024.8
2021-05-22,14.1,23.7,16.2,35,11,1024.3,23.2,17,9,1020.9
2021-05-23,13.0,24.8,18.1,36,13,1022.3,24.5,22,13,1018.7
2021-05-24,18.1,25.4,20.2,36,19,1018.1,23.3,30,15,1013.4
2021-05-25,13.3,17.2,13.8,90,11,1010.9,13.5,74,20,1011.8
2021-05-26,11.4,16.7,14.5,52,19,1024.2,16.0,57,17,1025.6
2021-05-27,9.5,17.9,12.8,84,4,1032.4,17.3,65,13,1031.6
2021-05-28,8.7,17.4,13.7,78,11,1034.6,16.6,64,6,1032.3
2021-05-29,6.4,16.8,10.8,65,6,1033.8,15.2,54,7,1029.6
2021-05-30,3.5,17.7,11.3,56,9,1027.3,16.7,40,11,1024.5
2021-05-31,7.4,15.9,11.9,31,13,1022.3,15.5,30,9,1018.3
2021-06-1,11.8,21.2,14.8,37,11,1017.4,20.6,34,7,1014.2
2021-06-2,13.2,21.9,15.7,61,7,1013.4,19.8,51,11,1011.2
